key,instantiation-moment,start-display-period,end-display-period,picture-link,slogan,target-web-document-link
banner-01,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-02,2000/01/01 00:00,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-03,2000/01/01 00:01,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-04,2000/02/29 12:00,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-05,2000/07/29 23:58,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-06,2022/07/29 23:59,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-07,2013/01/01 12:30,2013/01/01 12:31,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-08,2013/01/01 12:30,2013/01/01 12:32,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-09,2013/01/01 12:30,2016/02/29 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-10,2013/01/01 12:30,2022/07/29 23:58,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-11,2013/01/01 12:30,2022/07/29 23:59,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-12,2013/01/01 12:30,2014/01/01 12:30,2014/01/08 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-13,2013/01/01 12:30,2014/01/01 12:30,2014/01/08 12:31,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-14,2013/01/01 12:30,2014/01/01 12:30,2024/02/29 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-15,2013/01/01 12:30,2014/01/01 12:30,2199/12/31 23:58,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-16,2013/01/01 12:30,2014/01/01 12:30,2199/12/31 23:59,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-17,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-18,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,I,https://www.u-ranking.es/pics/logos/US.png
banner-19,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,In,https://www.u-ranking.es/pics/logos/US.png
banner-20,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,<h1>hacked</h1>,https://www.u-ranking.es/pics/logos/US.png
banner-21,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,' or 'A'='A,https://www.u-ranking.es/pics/logos/US.png
banner-26,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,https://www.u-ranking.es/pics/logos/US.png
banner-22,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante con el sol,https://www.u-ranking.es/pics/logos/US.png
banner-23,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,https://www.u-ranking.es/pics/logos/US.png
banner-24,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantiums,https://www.u-ranking.es/pics/logos/US.png
banner-25,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
banner-27,2013/01/01 12:30,2014/01/01 12:30,2015/01/01 12:30,https://www.u-ranking.es/pics/logos/US.png,Inspirando un futuro brillante,https://www.u-ranking.es/pics/logos/US.png
