key,title,description,acceptance-criteria,estimated-cost,priority,link,key:manager,draft-mode
user-story-01,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-02,a,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-03,ab,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-04,Lorem ipsum dolor sit amet consectetur,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-05,Lorem ipsum dolor sit amet consectetur adipiscing elit vestibulum vulputat,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-06,Lorem ipsum dolor sit amet consectetur adipiscing elit vestibulum vulputate,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-07,or 'a' = 'a',Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-08,<h1>hacked</h1>,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-09,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-10,Customize user profile,a,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-11,Customize user profile,ab,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-12,Customize user profile,sit amet consectetur adipiscing elit ut aliquam purus,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-13,Customize user profile,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fringa,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-14,Customize user profile,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fringas,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-15,Customize user profile,or 'a' = 'a',Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-16,Customize user profile,<h1>hacked</h1>,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-17,Customize user profile,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,null,manager-01,false
user-story-18,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,a,3,MUST,null,manager-01,false
user-story-19,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,ab,3,MUST,null,manager-01,false
user-story-20,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,sit amet consectetur adipiscing elit ut aliquam purus,3,MUST,null,manager-01,false
user-story-21,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fringa,3,MUST,null,manager-01,false
user-story-22,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,sit amet consectetur adipiscing elit ut aliquam purus sit amet luctus venenatis lectus magna fringas,3,MUST,null,manager-01,false
user-story-23,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,or 'a' = 'a',3,MUST,null,manager-01,false
user-story-24,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,<h1>hacked</h1>,3,MUST,null,manager-01,false
user-story-25,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,3,MUST,null,manager-01,false
user-story-26,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,1,MUST,null,manager-01,false
user-story-27,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,2,MUST,null,manager-01,false
user-story-28,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,5000,MUST,null,manager-01,false
user-story-29,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,9999,MUST,null,manager-01,false
user-story-30,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,10000,MUST,null,manager-01,false
user-story-31,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,SHOULD,null,manager-01,false
user-story-32,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,COULD,null,manager-01,false
user-story-33,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,WONT,null,manager-01,false
user-story-34,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,https://www.a.com,manager-01,false
user-story-35,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,http://www.example.es,manager-01,false
user-story-36,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,https://www.loreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsita.com,manager-01,false
user-story-37,Customize user profile,Allow users to customize profiles to adapt the experience to their preferences,Profile customization feature implemented; user preferences reflect in  profile settings,3,MUST,https://www.loreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitametoreipsumdolorsitam.com,manager-01,false
